gkz,Männer,Frauen,diff,class,text
31646,32498.18,31577.17,921.010000000002,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'>   921,01 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31649,34461.37,31813.49,2647.880000000001,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 2.647,88 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31650,35309.81,29688.49,5621.319999999996,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 5.621,32 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31651,36877.09,32789.14,4087.949999999997,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.087,95 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31652,34951.22,29955.07,4996.1500000000015,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.996,15 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31653,34736.53,28559.37,6177.16,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 6.177,16 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31654,35125.93,31222.3,3903.630000000001,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.903,63 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31655,39028.48,34673.77,4354.710000000006,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.354,71 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31658,36798.03,30233.38,6564.649999999998,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 6.564,65 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31701,37654.45,32480.31,5174.139999999996,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 5.174,14 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31702,41923.7,35848.7,6075,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 6.075,00 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31703,44916.75,38248.26,6668.489999999998,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 6.668,49 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31704,40700.9,35989.46,4711.440000000002,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.711,44 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31706,49898.54,41548.01,8350.529999999999,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 8.350,53 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31707,58839.4,44222.38,14617.020000000004,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'>14.617,02 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31709,42694.42,37822.92,4871.5,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.871,50 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31710,37855.8,32692.56,5163.240000000002,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 5.163,24 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31711,40015.65,36205.14,3810.510000000002,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.810,51 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31712,48962.57,38733.63,10228.940000000002,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'>10.228,94 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31713,38304.29,35376.73,2927.5599999999977,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 2.927,56 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31714,45677.24,37031.17,8646.07,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 8.646,07 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31715,40501.72,35917.61,4584.110000000001,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.584,11 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31716,44616.9,38055.9,6561,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 6.561,00 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31717,39655.57,35963.56,3692.010000000002,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.692,01 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31718,40623.86,36107.81,4516.050000000003,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.516,05 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31719,47799.33,40931.98,6867.3499999999985,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 6.867,35 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31723,36927.13,34005.49,2921.6399999999994,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 2.921,64 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31725,37092.13,33356.19,3735.939999999995,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.735,94 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31726,41488.88,38694.07,2794.8099999999977,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 2.794,81 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31801,36751.69,30746.63,6005.060000000001,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 6.005,06 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31802,34928.91,30125.63,4803.2800000000025,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.803,28 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31803,34599.54,33605.16,994.3799999999974,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'>   994,38 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31804,36732.65,31782.68,4949.970000000001,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.949,97 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31805,32898.96,28140.73,4758.23,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.758,23 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
